"run_id","sample","timestamp_local","timestamp_utc","scenario","entity_type","entity_name","metric_name","metric_value","unit","json_path","tr181_path"
"20260614_111959_roaming","1","2026-06-14 11:20:00","2026-06-14T09:19:58Z","roaming","other","","timestamp_utc","2026-06-14T09:19:58Z","","timestamp_utc",""
"20260614_111959_roaming","1","2026-06-14 11:20:00","2026-06-14T09:19:58Z","roaming","other","","uptime_seconds","5120","","uptime_seconds",""
"20260614_111959_roaming","1","2026-06-14 11:20:00","2026-06-14T09:19:58Z","roaming","other","","scenario","roaming","","scenario",""
"20260614_111959_roaming","1","2026-06-14 11:20:00","2026-06-14T09:19:58Z","roaming","other","","scenario_description","Movimiento de MOVIL_SARA y steering hacia el satelite.","","scenario_description",""
"20260614_111959_roaming","1","2026-06-14 11:20:00","2026-06-14T09:19:58Z","roaming","other","","device_id","535241-EasyMeshVirtualCPE-200001","","device_id",""
"20260614_111959_roaming","1","2026-06-14 11:20:00","2026-06-14T09:19:58Z","roaming","controller","GW_MASTER","name","GW_MASTER","","controller.name","Device.WiFi.DataElements.Network.Controller.Name"
"20260614_111959_roaming","1","2026-06-14 11:20:00","2026-06-14T09:19:58Z","roaming","controller","GW_MASTER","status","Running","","controller.status","Device.WiFi.DataElements.Network.Controller.Status"
"20260614_111959_roaming","1","2026-06-14 11:20:00","2026-06-14T09:19:58Z","roaming","controller","GW_MASTER","almac","06:8e:01:be:ef:29","","controller.almac","Device.WiFi.DataElements.Network.Controller.ID"
"20260614_111959_roaming","1","2026-06-14 11:20:00","2026-06-14T09:19:58Z","roaming","controller","GW_MASTER","ipv4","172.25.0.40","","controller.ipv4","Device.WiFi.DataElements.Network.Controller.IPv4Address"
"20260614_111959_roaming","1","2026-06-14 11:20:00","2026-06-14T09:19:58Z","roaming","controller","GW_MASTER","agent_number","2","count","controller.agent_number","Device.WiFi.DataElements.Network.Controller.AgentNumber"
"20260614_111959_roaming","1","2026-06-14 11:20:00","2026-06-14T09:19:58Z","roaming","controller","GW_MASTER","total_client_number","4","count","controller.total_client_number","Device.WiFi.DataElements.Network.Controller.TotalClientNumber"
"20260614_111959_roaming","1","2026-06-14 11:20:00","2026-06-14T09:19:58Z","roaming","device_info","EasyMeshVirtualCPE","manufacturer","Sara-Lab","","device_info.manufacturer","Device.DeviceInfo.Manufacturer"
"20260614_111959_roaming","1","2026-06-14 11:20:00","2026-06-14T09:19:58Z","roaming","device_info","EasyMeshVirtualCPE","manufacturer_oui","535241","","device_info.manufacturer_oui","Device.DeviceInfo.ManufacturerOUI"
"20260614_111959_roaming","1","2026-06-14 11:20:00","2026-06-14T09:19:58Z","roaming","device_info","EasyMeshVirtualCPE","product_class","EasyMeshVirtualCPE","","device_info.product_class","Device.DeviceInfo.ProductClass"
"20260614_111959_roaming","1","2026-06-14 11:20:00","2026-06-14T09:19:58Z","roaming","device_info","EasyMeshVirtualCPE","serial_number","200001","count","device_info.serial_number","Device.DeviceInfo.SerialNumber"
"20260614_111959_roaming","1","2026-06-14 11:20:00","2026-06-14T09:19:58Z","roaming","device_info","EasyMeshVirtualCPE","software_version","EasyMeshNetworkSimulator-1.0","","device_info.software_version","Device.DeviceInfo.SoftwareVersion"
"20260614_111959_roaming","1","2026-06-14 11:20:00","2026-06-14T09:19:58Z","roaming","device_info","EasyMeshVirtualCPE","cpu_usage_percent","21.2","%","device_info.cpu_usage_percent","Device.DeviceInfo.X_SARA_CPUUsage"
"20260614_111959_roaming","1","2026-06-14 11:20:00","2026-06-14T09:19:58Z","roaming","device_info","EasyMeshVirtualCPE","memory_total_mb","256","MB","device_info.memory_total_mb","Device.DeviceInfo.MemoryStatus.Total"
"20260614_111959_roaming","1","2026-06-14 11:20:00","2026-06-14T09:19:58Z","roaming","device_info","EasyMeshVirtualCPE","memory_free_mb","144.4","MB","device_info.memory_free_mb","Device.DeviceInfo.MemoryStatus.Free"
"20260614_111959_roaming","1","2026-06-14 11:20:00","2026-06-14T09:19:58Z","roaming","ap","AP_SALON","name","AP_SALON","","aps.AP_SALON.name","Device.WiFi.DataElements.Network.Device.1.Name"
"20260614_111959_roaming","1","2026-06-14 11:20:00","2026-06-14T09:19:58Z","roaming","ap","AP_SALON","device_index","1","","aps.AP_SALON.device_index","Device.WiFi.DataElements.Network.Device.1.X_SARA_DeviceIndex"
"20260614_111959_roaming","1","2026-06-14 11:20:00","2026-06-14T09:19:58Z","roaming","ap","AP_SALON","role","gateway_agent","","aps.AP_SALON.role","Device.WiFi.DataElements.Network.Device.1.Role"
"20260614_111959_roaming","1","2026-06-14 11:20:00","2026-06-14T09:19:58Z","roaming","ap","AP_SALON","status","Online","","aps.AP_SALON.status","Device.WiFi.DataElements.Network.Device.1.Status"
"20260614_111959_roaming","1","2026-06-14 11:20:00","2026-06-14T09:19:58Z","roaming","ap","AP_SALON","almac","AA:BB:CC:00:01:01","","aps.AP_SALON.almac","Device.WiFi.DataElements.Network.Device.1.ID"
"20260614_111959_roaming","1","2026-06-14 11:20:00","2026-06-14T09:19:58Z","roaming","ap","AP_SALON","mac","AA:BB:CC:10:01:01","","aps.AP_SALON.mac","Device.WiFi.DataElements.Network.Device.1.MACAddress"
"20260614_111959_roaming","1","2026-06-14 11:20:00","2026-06-14T09:19:58Z","roaming","ap","AP_SALON","ipv4","172.25.0.41","","aps.AP_SALON.ipv4","Device.WiFi.DataElements.Network.Device.1.IPv4Address"
"20260614_111959_roaming","1","2026-06-14 11:20:00","2026-06-14T09:19:58Z","roaming","backhaul","AP_SALON","backhaul_type","Ethernet","","aps.AP_SALON.backhaul_type","Device.WiFi.DataElements.Network.Device.1.BackhaulType"
"20260614_111959_roaming","1","2026-06-14 11:20:00","2026-06-14T09:19:58Z","roaming","backhaul","AP_SALON","backhaul_rssi","0.0","dBm","aps.AP_SALON.backhaul_rssi","Device.WiFi.DataElements.Network.Device.1.BackhaulRSSI"
"20260614_111959_roaming","1","2026-06-14 11:20:00","2026-06-14T09:19:58Z","roaming","backhaul","AP_SALON","backhaul_rate_mbps","1000.0","Mbps","aps.AP_SALON.backhaul_rate_mbps","Device.WiFi.DataElements.Network.Device.1.BackhaulRate"
"20260614_111959_roaming","1","2026-06-14 11:20:00","2026-06-14T09:19:58Z","roaming","backhaul","AP_SALON","backhaul_latency_ms","1.0","ms","aps.AP_SALON.backhaul_latency_ms","Device.WiFi.DataElements.Network.Device.1.BackhaulLatency"
"20260614_111959_roaming","1","2026-06-14 11:20:00","2026-06-14T09:19:58Z","roaming","backhaul","AP_SALON","backhaul_packet_loss_percent","0.0","%","aps.AP_SALON.backhaul_packet_loss_percent","Device.WiFi.DataElements.Network.Device.1.BackhaulPacketLoss"
"20260614_111959_roaming","1","2026-06-14 11:20:00","2026-06-14T09:19:58Z","roaming","radio","AP_SALON-Radio.1","id","1","","aps.AP_SALON.radios.0.id","Device.WiFi.DataElements.Network.Device.1.Radio.1.Alias"
"20260614_111959_roaming","1","2026-06-14 11:20:00","2026-06-14T09:19:58Z","roaming","radio","AP_SALON-Radio.1","name","wlan0","","aps.AP_SALON.radios.0.name","Device.WiFi.DataElements.Network.Device.1.Radio.1.Name"
"20260614_111959_roaming","1","2026-06-14 11:20:00","2026-06-14T09:19:58Z","roaming","radio","AP_SALON-Radio.1","band","2.4GHz","","aps.AP_SALON.radios.0.band","Device.WiFi.DataElements.Network.Device.1.Radio.1.OperatingFrequencyBand"
"20260614_111959_roaming","1","2026-06-14 11:20:00","2026-06-14T09:19:58Z","roaming","radio","AP_SALON-Radio.1","channel","1","count","aps.AP_SALON.radios.0.channel","Device.WiFi.DataElements.Network.Device.1.Radio.1.Channel"
"20260614_111959_roaming","1","2026-06-14 11:20:00","2026-06-14T09:19:58Z","roaming","radio","AP_SALON-Radio.1","frequency_mhz","2412","MHz","aps.AP_SALON.radios.0.frequency_mhz","Device.WiFi.DataElements.Network.Device.1.Radio.1.FrequencyMHz"
"20260614_111959_roaming","1","2026-06-14 11:20:00","2026-06-14T09:19:58Z","roaming","radio","AP_SALON-Radio.1","bandwidth","40MHz","","aps.AP_SALON.radios.0.bandwidth","Device.WiFi.DataElements.Network.Device.1.Radio.1.OperatingChannelBandwidth"
"20260614_111959_roaming","1","2026-06-14 11:20:00","2026-06-14T09:19:58Z","roaming","radio","AP_SALON-Radio.1","standard","802.11n/ax","","aps.AP_SALON.radios.0.standard","Device.WiFi.DataElements.Network.Device.1.Radio.1.OperatingStandards"
"20260614_111959_roaming","1","2026-06-14 11:20:00","2026-06-14T09:19:58Z","roaming","radio","AP_SALON-Radio.1","tx_power_dbm","18","dBm","aps.AP_SALON.radios.0.tx_power_dbm","Device.WiFi.DataElements.Network.Device.1.Radio.1.TransmitPower"
"20260614_111959_roaming","1","2026-06-14 11:20:00","2026-06-14T09:19:58Z","roaming","radio","AP_SALON-Radio.1","status","Up","","aps.AP_SALON.radios.0.status","Device.WiFi.DataElements.Network.Device.1.Radio.1.Status"
"20260614_111959_roaming","1","2026-06-14 11:20:00","2026-06-14T09:19:58Z","roaming","radio","AP_SALON-Radio.1","utilization_percent","39.8","%","aps.AP_SALON.radios.0.utilization_percent","Device.WiFi.DataElements.Network.Device.1.Radio.1.Utilization"
"20260614_111959_roaming","1","2026-06-14 11:20:00","2026-06-14T09:19:58Z","roaming","radio","AP_SALON-Radio.1","noise_dbm","-91.5","dBm","aps.AP_SALON.radios.0.noise_dbm","Device.WiFi.DataElements.Network.Device.1.Radio.1.Noise"
"20260614_111959_roaming","1","2026-06-14 11:20:00","2026-06-14T09:19:58Z","roaming","radio","AP_SALON-Radio.1","bss_number_of_entries","1","count","aps.AP_SALON.radios.0.bss_number_of_entries","Device.WiFi.DataElements.Network.Device.1.Radio.1.BSSNumberOfEntries"
"20260614_111959_roaming","1","2026-06-14 11:20:00","2026-06-14T09:19:58Z","roaming","radio","AP_SALON-Radio.1","sta_number_of_entries","2","count","aps.AP_SALON.radios.0.sta_number_of_entries","Device.WiFi.DataElements.Network.Device.1.Radio.1.STANumberOfEntries"
"20260614_111959_roaming","1","2026-06-14 11:20:00","2026-06-14T09:19:58Z","roaming","radio","AP_SALON-Radio.1","bytes_sent","512905262","bytes","aps.AP_SALON.radios.0.bytes_sent","Device.WiFi.DataElements.Network.Device.1.Radio.1.Stats.BytesSent"
"20260614_111959_roaming","1","2026-06-14 11:20:00","2026-06-14T09:19:58Z","roaming","radio","AP_SALON-Radio.1","bytes_received","718148207","bytes","aps.AP_SALON.radios.0.bytes_received","Device.WiFi.DataElements.Network.Device.1.Radio.1.Stats.BytesReceived"
"20260614_111959_roaming","1","2026-06-14 11:20:00","2026-06-14T09:19:58Z","roaming","radio","AP_SALON-Radio.1","packets_sent","4614457","packets","aps.AP_SALON.radios.0.packets_sent","Device.WiFi.DataElements.Network.Device.1.Radio.1.Stats.PacketsSent"
"20260614_111959_roaming","1","2026-06-14 11:20:00","2026-06-14T09:19:58Z","roaming","radio","AP_SALON-Radio.1","packets_received","5640131","packets","aps.AP_SALON.radios.0.packets_received","Device.WiFi.DataElements.Network.Device.1.Radio.1.Stats.PacketsReceived"
"20260614_111959_roaming","1","2026-06-14 11:20:00","2026-06-14T09:19:58Z","roaming","radio","AP_SALON-Radio.1","errors_sent","0","","aps.AP_SALON.radios.0.errors_sent","Device.WiFi.DataElements.Network.Device.1.Radio.1.Stats.ErrorsSent"
"20260614_111959_roaming","1","2026-06-14 11:20:00","2026-06-14T09:19:58Z","roaming","radio","AP_SALON-Radio.1","errors_received","0","","aps.AP_SALON.radios.0.errors_received","Device.WiFi.DataElements.Network.Device.1.Radio.1.Stats.ErrorsReceived"
"20260614_111959_roaming","1","2026-06-14 11:20:00","2026-06-14T09:19:58Z","roaming","radio","AP_SALON-Radio.2","id","2","","aps.AP_SALON.radios.1.id","Device.WiFi.DataElements.Network.Device.1.Radio.2.Alias"
