"run_id","sample","timestamp_local","timestamp_utc","scenario","entity_type","entity_name","metric_name","metric_value","unit","json_path","tr181_path"
"20260619_090106_normal","1","2026-06-19 09:01:06","2026-06-19T07:01:06Z","normal","other","","timestamp_utc","2026-06-19T07:01:06Z","","timestamp_utc",""
"20260619_090106_normal","1","2026-06-19 09:01:06","2026-06-19T07:01:06Z","normal","other","","uptime_seconds","481","","uptime_seconds",""
"20260619_090106_normal","1","2026-06-19 09:01:06","2026-06-19T07:01:06Z","normal","other","","scenario","normal","","scenario",""
"20260619_090106_normal","1","2026-06-19 09:01:06","2026-06-19T07:01:06Z","normal","other","","scenario_description","Cobertura estable, baja interferencia y baja carga.","","scenario_description",""
"20260619_090106_normal","1","2026-06-19 09:01:06","2026-06-19T07:01:06Z","normal","other","","device_id","535241-EasyMeshVirtualCPE-200001","","device_id",""
"20260619_090106_normal","1","2026-06-19 09:01:06","2026-06-19T07:01:06Z","normal","controller","GW_MASTER","name","GW_MASTER","","controller.name","Device.WiFi.DataElements.Network.Controller.Name"
"20260619_090106_normal","1","2026-06-19 09:01:06","2026-06-19T07:01:06Z","normal","controller","GW_MASTER","status","Running","","controller.status","Device.WiFi.DataElements.Network.Controller.Status"
"20260619_090106_normal","1","2026-06-19 09:01:06","2026-06-19T07:01:06Z","normal","controller","GW_MASTER","almac","06:8e:01:be:ef:29","","controller.almac","Device.WiFi.DataElements.Network.Controller.ID"
"20260619_090106_normal","1","2026-06-19 09:01:06","2026-06-19T07:01:06Z","normal","controller","GW_MASTER","ipv4","172.25.0.40","","controller.ipv4","Device.WiFi.DataElements.Network.Controller.IPv4Address"
"20260619_090106_normal","1","2026-06-19 09:01:06","2026-06-19T07:01:06Z","normal","controller","GW_MASTER","agent_number","2","count","controller.agent_number","Device.WiFi.DataElements.Network.Controller.AgentNumber"
"20260619_090106_normal","1","2026-06-19 09:01:06","2026-06-19T07:01:06Z","normal","controller","GW_MASTER","total_client_number","3","count","controller.total_client_number","Device.WiFi.DataElements.Network.Controller.TotalClientNumber"
"20260619_090106_normal","1","2026-06-19 09:01:06","2026-06-19T07:01:06Z","normal","device_info","EasyMeshVirtualCPE","manufacturer","Sara-Lab","","device_info.manufacturer","Device.DeviceInfo.Manufacturer"
